Major Genre,MPAA Rating,Running Time min,IMDB Rating,IMDB Votes
Drama,PG-13,122.0,7.3,56176.0
Drama,G,98.0,6.7,8028.0
Drama,PG-13,144.0,8.0,63111.0
Drama,PG-13,117.0,6.4,40053.0
Drama,PG-13,112.0,6.4,14244.0
Comedy,G,104.0,5.5,9061.0
Drama,R,152.0,7.3,51083.0
Comedy,PG-13,91.0,4.0,5277.0
Drama,R,104.0,2.9,212.0
Action,R,122.0,6.7,78705.0
Drama,PG-13,136.0,7.1,23526.0
Comedy,PG,100.0,4.1,4063.0
Comedy,PG,102.0,5.1,9527.0
Action,R,120.0,7.8,105362.0
Comedy,R,94.0,4.3,6496.0
Action,R,115.0,6.6,76052.0
Drama,PG,150.0,7.3,73684.0
Drama,PG-13,104.0,6.8,5017.0
Comedy,PG-13,86.0,4.2,6739.0
Adventure,PG,100.0,7.8,38464.0
Comedy,PG,89.0,4.3,9976.0
Drama,R,105.0,6.9,35192.0
Comedy,PG-13,113.0,5.5,18332.0
Action,R,88.0,7.1,71094.0
Horror,R,101.0,5.4,14834.0
Comedy,PG,90.0,,
Action,R,110.0,5.8,9008.0
Action,R,113.0,7.0,17975.0
Drama,R,107.0,6.1,20886.0
Drama,PG-13,93.0,6.6,4894.0
Drama,PG-13,131.0,7.6,40605.0
Drama,R,95.0,6.7,66861.0
Adventure,PG,94.0,5.0,6392.0
Comedy,PG,91.0,5.2,16912.0
Drama,PG-13,114.0,6.6,430.0
Drama,PG-13,101.0,5.3,33808.0
Comedy,PG,90.0,7.2,19913.0
Comedy,PG,85.0,2.4,6809.0
Comedy,PG,92.0,5.5,14944.0
Drama,PG-13,116.0,4.9,5565.0
Comedy,PG-13,83.0,3.4,5002.0
Action,PG-13,105.0,5.5,63574.0
Horror,R,100.0,7.4,73875.0
Drama,PG-13,130.0,7.6,14530.0
Action,R,105.0,6.0,28887.0
,R,149.0,7.4,10383.0
Action,R,105.0,5.6,44191.0
Comedy,PG-13,91.0,5.1,6968.0
Comedy,PG-13,96.0,5.5,39756.0
Adventure,PG,88.0,4.4,1177.0
Comedy,PG,95.0,7.7,10529.0
Comedy,R,88.0,5.6,25397.0
Horror,PG-13,86.0,4.6,12771.0
Drama,PG-13,104.0,5.8,14098.0
Action,PG-13,128.0,7.5,130559.0
Action,R,85.0,7.1,21427.0
Comedy,PG-13,88.0,1.7000000000000002,34928.0
Adventure,PG,82.0,6.2,13962.0
Comedy,R,135.0,7.3,100476.0
Action,R,133.0,5.9,32560.0
Drama,R,121.0,7.7,65462.0
Adventure,G,77.0,4.8,920.0
Adventure,PG-13,120.0,6.0,54160.0
Drama,R,152.0,8.5,264148.0
Horror,R,99.0,4.8,14077.0
Action,R,105.0,6.6,40611.0
Horror,PG-13,99.0,7.1,51343.0
Drama,PG-13,120.0,,
Comedy,PG,87.0,6.0,2993.0
Comedy,PG-13,85.0,5.2,25648.0
,PG-13,98.0,6.7,5380.0
Action,PG-13,117.0,4.2,18795.0
Drama,R,136.0,5.3,34141.0
Musical,PG-13,130.0,6.6,28016.0
Comedy,PG-13,118.0,5.2,18165.0
Comedy,PG,80.0,3.0,10050.0
Action,PG-13,88.0,6.8,162.0
Comedy,R,90.0,5.1,6628.0
Comedy,PG-13,105.0,4.7,27016.0
Comedy,PG-13,85.0,3.3,14813.0
Drama,R,144.0,,
Action,PG-13,90.0,3.8,14081.0
Comedy,PG-13,87.0,5.0,9193.0
Comedy,PG-13,122.0,6.0,21734.0
Comedy,PG,95.0,6.8,42123.0
Drama,R,124.0,7.6,33773.0
Comedy,PG,96.0,6.3,12020.0
Action,R,102.0,6.2,54413.0
Comedy,PG-13,103.0,5.4,17845.0
Adventure,G,78.0,7.4,23355.0
Action,R,120.0,5.4,43513.0
Drama,R,131.0,7.4,59916.0
Action,R,127.0,7.2,66700.0
Comedy,PG-13,86.0,2.2,48975.0
Adventure,PG,102.0,5.0,43555.0
Drama,R,133.0,7.2,54977.0
Drama,PG-13,133.0,6.4,31775.0
Drama,R,143.0,4.7,3019.0
Comedy,R,108.0,8.5,219986.0
Drama,R,109.0,7.0,4509.0
Horror,R,95.0,6.3,44671.0
Drama,PG,122.0,,
Musical,PG,134.0,6.1,16769.0
Comedy,PG-13,102.0,5.9,39590.0
Action,R,100.0,5.2,14528.0
Horror,R,114.0,5.0,15901.0
Drama,PG,129.0,7.1,4749.0
Drama,R,159.0,7.2,93880.0
Horror,R,102.0,6.3,36139.0
Comedy,PG-13,103.0,6.3,24434.0
Comedy,PG-13,98.0,4.8,6654.0
Action,R,138.0,7.3,102001.0
Horror,R,90.0,6.4,35737.0
Action,PG-13,105.0,7.4,131252.0
Comedy,PG-13,99.0,5.9,30309.0
Action,PG-13,123.0,5.7,71675.0
Drama,R,92.0,5.6,15023.0
Action,PG-13,107.0,5.1,44151.0
Action,PG-13,107.0,6.0,67939.0
Horror,R,93.0,6.9,11683.0
Drama,R,139.0,8.8,382470.0
Adventure,PG-13,120.0,6.4,36227.0
Drama,PG-13,137.0,7.2,35966.0
Horror,R,98.0,6.8,52618.0
Drama,PG,94.0,5.7,2832.0
Comedy,PG,93.0,4.6,18890.0
Comedy,PG,85.0,7.0,21334.0
Drama,PG-13,139.0,6.5,13934.0
Adventure,G,89.0,4.7,1653.0
Comedy,PG-13,126.0,6.6,34090.0
Adventure,G,100.0,8.2,165006.0
Drama,PG-13,96.0,7.4,72562.0
Action,PG,92.0,,
Action,PG-13,105.0,6.7,36548.0
Drama,PG-13,122.0,7.5,18065.0
Comedy,R,98.0,5.3,10176.0
Comedy,PG,97.0,6.5,29137.0
Drama,PG-13,118.0,7.3,35968.0
Action,PG-13,119.0,8.0,106648.0
Comedy,R,85.0,5.3,6742.0
Drama,R,123.0,7.3,26243.0
Drama,PG-13,117.0,7.2,20868.0
Drama,PG,122.0,5.6,5498.0
Drama,R,122.0,7.9,36366.0
Drama,R,90.0,6.1,8680.0
Comedy,R,90.0,7.2,40877.0
Comedy,PG-13,90.0,6.3,1788.0
Drama,R,121.0,,
Comedy,PG-13,86.0,6.2,7780.0
Drama,R,168.0,7.4,113378.0
Comedy,PG,80.0,4.8,19870.0
Drama,R,111.0,5.8,10902.0
Drama,R,114.0,,
Comedy,PG,87.0,5.0,1961.0
Drama,R,104.0,6.1,13007.0
Drama,PG-13,126.0,6.8,12400.0
Horror,R,91.0,5.3,25891.0
Action,PG-13,110.0,5.2,63235.0
Drama,R,124.0,5.5,23807.0
Action,PG-13,118.0,5.8,47052.0
Drama,R,127.0,,
Action,R,150.0,8.3,279512.0
Drama,R,187.0,8.4,198916.0
Drama,R,116.0,6.1,23570.0
Drama,PG,121.0,6.9,16809.0
Action,PG-13,139.0,4.8,59455.0
,PG-13,118.0,6.4,2940.0
Drama,R,126.0,8.1,150415.0
Comedy,R,137.0,7.3,36648.0
Comedy,PG,110.0,6.3,14984.0
Comedy,PG,104.0,7.2,52507.0
Drama,PG-13,98.0,6.2,2084.0
Drama,R,109.0,7.9,92594.0
Comedy,PG,91.0,5.3,19685.0
Comedy,PG,104.0,5.7,40310.0
Horror,R,191.0,7.9,82770.0
Adventure,G,85.0,7.9,38158.0
Horror,PG-13,102.0,4.6,16024.0
Horror,PG-13,96.0,5.7,43218.0
Comedy,PG-13,102.0,5.8,13488.0
Comedy,PG-13,103.0,5.7,15789.0
Horror,R,105.0,4.5,9284.0
Musical,PG,117.0,7.2,41511.0
Comedy,R,84.0,6.3,18791.0
Drama,R,120.0,7.0,26347.0
Comedy,PG-13,98.0,5.5,18964.0
Comedy,PG,80.0,6.7,20461.0
Comedy,PG-13,95.0,5.1,8447.0
Drama,R,134.0,6.8,14494.0
Action,R,109.0,3.2,77.0
Action,PG-13,122.0,6.8,67763.0
Comedy,PG-13,119.0,5.7,10526.0
Action,PG-13,96.0,,
Horror,PG-13,114.0,4.6,31808.0
Comedy,R,114.0,7.6,69740.0
Action,R,93.0,6.8,520.0
Horror,R,88.0,5.0,17948.0
Comedy,R,109.0,6.7,25756.0
Horror,R,85.0,,
Horror,R,89.0,3.9,13181.0
Comedy,PG,94.0,5.4,4772.0
Comedy,R,99.0,7.9,127634.0
Comedy,PG-13,95.0,4.3,6098.0
Drama,PG,117.0,7.1,19388.0
Horror,R,112.0,5.5,41499.0
Drama,PG-13,94.0,4.6,13026.0
Drama,PG-13,114.0,5.3,9168.0
Comedy,PG-13,83.0,6.5,22250.0
Drama,PG-13,115.0,7.6,44618.0
Comedy,PG-13,105.0,5.4,16242.0
Comedy,R,93.0,5.5,14470.0
Comedy,R,93.0,,
Adventure,PG,161.0,7.2,120063.0
Adventure,PG,141.0,7.7,108928.0
Adventure,PG-13,157.0,7.6,111946.0
Adventure,PG-13,138.0,7.4,104074.0
Adventure,PG,153.0,7.3,73720.0
Adventure,PG,152.0,7.2,132238.0
Adventure,PG,108.0,6.7,42369.0
Adventure,G,92.0,6.8,21902.0
Drama,PG-13,106.0,4.1,165.0
Action,R,96.0,5.6,14375.0
Drama,PG-13,168.0,6.3,15831.0
Comedy,PG,103.0,6.6,61513.0
Comedy,R,121.0,8.0,129779.0
Action,PG-13,138.0,5.7,70844.0
Adventure,PG-13,112.0,7.1,82419.0
Adventure,G,86.0,6.5,19479.0
Action,R,94.0,5.8,18941.0
Comedy,PG-13,101.0,6.2,48935.0
Action,PG-13,116.0,5.2,16452.0
Adventure,PG,93.0,7.1,33289.0
Adventure,PG,81.0,7.4,75552.0
Comedy,PG-13,97.0,6.7,8078.0
Musical,R,121.0,5.8,3056.0
Comedy,PG,86.0,6.0,6614.0
Horror,R,101.0,4.1,23268.0
Horror,R,101.0,5.4,36807.0
Drama,PG-13,110.0,7.7,92040.0
Adventure,PG-13,122.0,7.1,33374.0
Comedy,PG,107.0,5.4,3092.0
Drama,R,118.0,7.1,6917.0
Adventure,PG,105.0,6.1,14157.0
Comedy,PG-13,92.0,6.1,18773.0
Comedy,PG-13,115.0,6.1,46347.0
Drama,R,157.0,8.0,68747.0
Comedy,PG,77.0,3.9,13881.0
Drama,R,123.0,6.2,15388.0
Action,PG-13,115.0,,
Action,PG-13,126.0,7.9,174040.0
Adventure,PG,86.0,7.9,38791.0
Action,PG-13,97.0,5.3,18061.0
Adventure,PG-13,111.0,6.9,76835.0
Comedy,PG,95.0,4.6,6932.0
Drama,R,154.0,7.6,84068.0
Drama,R,115.0,7.2,60650.0
Action,PG-13,125.0,6.3,59406.0
Action,PG-13,133.0,6.0,67476.0
Action,PG-13,144.0,8.0,172936.0
Comedy,R,92.0,6.3,27454.0
Adventure,PG,92.0,5.9,23756.0
Comedy,PG-13,91.0,5.4,18666.0
Horror,R,91.0,5.7,30610.0
Comedy,PG,87.0,5.8,29246.0
Horror,R,104.0,5.3,15975.0
Comedy,PG-13,97.0,3.8,3278.0
Comedy,PG-13,102.0,6.2,27370.0
Adventure,G,72.0,5.2,2740.0
Comedy,PG,98.0,5.3,5313.0
Action,PG-13,81.0,4.3,2316.0
Drama,PG-13,116.0,6.6,32338.0
Adventure,G,82.0,6.3,1704.0
Comedy,R,104.0,6.8,62692.0
Comedy,PG-13,95.0,7.9,149855.0
Action,PG-13,92.0,7.9,151365.0
Horror,R,97.0,5.8,39182.0
Action,PG-13,138.0,6.5,22288.0
Comedy,PG,89.0,4.1,9994.0
Action,R,98.0,6.3,22087.0
Adventure,PG,140.0,6.1,20039.0
Comedy,PG,90.0,6.9,3841.0
Action,R,136.0,8.0,182834.0
Action,R,111.0,8.2,231761.0
Comedy,PG,94.0,,
Adventure,PG-13,187.0,7.6,132720.0
Action,PG-13,109.0,6.6,13887.0
Action,R,110.0,7.1,47200.0
Comedy,PG-13,96.0,4.3,12747.0
Drama,PG-13,121.0,7.3,50475.0
Comedy,PG,98.0,4.7,9126.0
Adventure,PG-13,132.0,6.6,47609.0
Drama,PG-13,122.0,7.8,26816.0
Drama,R,137.0,8.4,165161.0
Action,PG-13,105.0,6.5,23369.0
Comedy,R,104.0,6.2,39242.0
Comedy,PG-13,101.0,5.3,16830.0
Comedy,PG-13,106.0,7.5,32423.0
Drama,R,136.0,7.8,37162.0
Drama,PG-13,113.0,5.9,20355.0
Horror,PG-13,100.0,7.1,153631.0
Drama,R,90.0,,
Drama,R,141.0,8.1,56872.0
Drama,R,125.0,7.4,32172.0
Comedy,PG-13,87.0,6.7,67798.0
Comedy,R,118.0,7.2,57889.0
Comedy,R,108.0,5.3,99.0
Comedy,PG,99.0,4.4,4870.0
Adventure,PG,85.0,7.1,25611.0
Comedy,PG,94.0,4.7,10199.0
Drama,R,121.0,7.8,54022.0
Comedy,R,101.0,8.0,151013.0
Comedy,PG-13,98.0,6.7,13550.0
Drama,R,90.0,6.2,22264.0
Action,PG-13,97.0,,
Adventure,PG-13,131.0,4.8,31611.0
Drama,PG-13,125.0,6.7,5835.0
Adventure,PG-13,179.0,8.7,326950.0
Adventure,PG-13,201.0,8.8,364077.0
Adventure,PG-13,178.0,8.8,387438.0
Comedy,R,91.0,6.7,4585.0
Action,PG-13,101.0,5.4,12250.0
Action,R,154.0,7.8,106002.0
Drama,PG,108.0,3.9,7210.0
Drama,R,102.0,7.9,130998.0
Action,PG-13,134.0,6.0,77124.0
Action,R,127.0,6.4,47846.0
Drama,R,104.0,7.1,4719.0
Drama,PG-13,122.0,5.9,9870.0
Comedy,G,95.0,4.7,14178.0
Drama,PG-13,137.0,6.2,13612.0
Drama,R,117.0,5.6,163.0
Adventure,PG,140.0,,
Comedy,PG-13,113.0,6.2,39752.0
Adventure,PG,83.0,6.6,56480.0
Comedy,PG-13,83.0,5.0,7706.0
Comedy,PG,91.0,5.3,23753.0
Action,R,110.0,5.7,14953.0
Drama,R,118.0,7.4,49481.0
Action,PG-13,91.0,4.5,13157.0
Action,R,136.0,8.7,380934.0
Comedy,R,103.0,5.8,14617.0
Horror,R,101.0,5.7,18037.0
Action,PG-13,97.0,5.6,5733.0
Drama,PG,107.0,,
Comedy,PG-13,103.0,5.7,16646.0
Adventure,PG-13,138.0,7.5,63632.0
Comedy,PG,91.0,6.7,13391.0
Drama,PG-13,132.0,8.2,141212.0
Comedy,PG-13,97.0,7.0,63607.0
Drama,PG-13,145.0,7.1,38695.0
Adventure,PG-13,98.0,7.0,119704.0
Drama,R,128.0,6.8,30630.0
Drama,R,113.0,8.7,274524.0
Drama,PG-13,132.0,5.6,13108.0
Drama,PG-13,154.0,6.9,56067.0
Drama,R,188.0,8.0,121540.0
Action,PG-13,88.0,7.4,467.0
Comedy,PG-13,115.0,4.7,14297.0
Action,PG-13,124.0,6.9,86222.0
Comedy,PG-13,110.0,6.1,42323.0
Adventure,PG,114.0,5.4,9187.0
Drama,PG,153.0,6.8,24809.0
Comedy,PG-13,86.0,4.8,8159.0
Adventure,PG,116.0,5.1,32449.0
Drama,R,129.0,5.7,14706.0
Drama,R,155.0,6.5,18960.0
Adventure,PG-13,132.0,7.2,561.0
Comedy,PG-13,95.0,5.1,16320.0
Drama,PG-13,117.0,6.1,23657.0
Drama,R,111.0,7.2,38023.0
Comedy,PG-13,120.0,7.2,265.0
Drama,R,109.0,7.4,39908.0
Adventure,G,95.0,7.4,39908.0
Action,R,95.0,5.7,8640.0
Musical,PG-13,123.0,7.3,2105.0
Drama,PG-13,107.0,7.1,2417.0
Comedy,PG-13,115.0,6.4,69613.0
Comedy,PG-13,108.0,7.0,84924.0
Drama,PG,92.0,6.1,126.0
Action,PG-13,145.0,7.7,135142.0
Action,PG-13,91.0,3.2,16672.0
Comedy,PG,95.0,6.1,14934.0
Drama,PG,92.0,7.1,10236.0
Drama,R,100.0,6.7,13881.0
Action,R,138.0,7.1,148874.0
Action,R,129.0,6.5,123347.0
Adventure,G,88.0,7.2,34256.0
Adventure,PG-13,124.0,6.8,95658.0
Adventure,PG-13,129.0,6.2,68084.0
Adventure,PG-13,111.0,5.1,41570.0
Comedy,G,88.0,6.1,5945.0
Comedy,PG,108.0,6.4,67133.0
Adventure,PG-13,104.0,4.4,7812.0
Action,R,132.0,6.0,51921.0
Adventure,PG,95.0,6.8,26582.0
Action,R,124.0,5.9,37696.0
Comedy,PG-13,105.0,6.2,37287.0
Comedy,PG-13,83.0,,
Drama,PG,95.0,6.9,9029.0
Comedy,PG,93.0,4.5,4918.0
Comedy,PG-13,102.0,6.3,6366.0
Drama,PG-13,108.0,7.4,13839.0
Comedy,PG,120.0,,
Drama,R,137.0,8.0,119484.0
Adventure,PG,131.0,6.9,83989.0
Drama,PG,102.0,6.6,4701.0
Adventure,PG-13,109.0,5.7,22859.0
Adventure,PG,121.0,8.1,159123.0
Action,R,138.0,7.2,46511.0
Comedy,PG-13,88.0,5.4,14268.0
Comedy,PG-13,109.0,6.8,25695.0
Comedy,PG-13,90.0,5.0,35082.0
Comedy,PG,104.0,5.9,25631.0
Drama,PG-13,90.0,6.8,24021.0
Drama,PG-13,123.0,8.0,95850.0
Comedy,PG,82.0,6.9,76557.0
Drama,PG-13,122.0,7.5,9700.0
Adventure,G,83.0,5.9,5379.0
Comedy,PG-13,107.0,4.3,17075.0
Drama,PG,106.0,7.9,86828.0
Drama,R,147.0,8.2,99464.0
Comedy,PG-13,82.0,6.1,23742.0
Comedy,PG-13,116.0,7.6,139034.0
Adventure,PG-13,125.0,6.0,89861.0
Adventure,PG-13,122.0,6.9,76884.0
Drama,R,162.0,6.6,48477.0
Drama,R,96.0,7.0,42134.0
Drama,R,127.0,6.9,5591.0
Action,R,97.0,4.7,887.0
Drama,PG,124.0,6.0,2993.0
Adventure,PG,87.0,6.0,52.0
Comedy,R,91.0,7.0,60477.0
Adventure,R,115.0,6.4,18299.0
Drama,R,129.0,7.1,38263.0
Comedy,PG-13,92.0,4.9,6338.0
Comedy,PG,97.0,5.3,22590.0
Drama,R,127.0,7.1,87326.0
Comedy,PG-13,110.0,6.3,31481.0
Action,R,110.0,5.8,304.0
Comedy,G,115.0,5.9,23486.0
Action,R,123.0,5.8,21524.0
Adventure,PG,113.0,7.1,16894.0
Musical,PG-13,143.0,7.2,42832.0
