Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Harriet the Spy,26570048.0,26570048.0,,13000000.0,Jul 10 1996,PG,101.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,45.0,5.8,2963.0
Independence Day,306169255.0,817400878.0,,75000000.0,Jul 02 1996,PG-13,145.0,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61.0,6.5,149493.0
The Island of Dr. Moreau,27682712.0,27682712.0,,40000000.0,Aug 23 1996,PG-13,95.0,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23.0,4.1,13770.0
The Island,15716828.0,15716828.0,,22000000.0,Jun 13 1980,PG-13,138.0,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,,6.9,82601.0
Jack,58617334.0,58617334.0,,45000000.0,Aug 09 1996,PG-13,113.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17.0,5.3,17267.0
Jingle All the Way,60592389.0,129832389.0,,60000000.0,Nov 22 1996,PG,89.0,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16.0,4.9,22928.0
The Juror,22730924.0,22730924.0,,44000000.0,Feb 02 1996,R,120.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,16.0,5.3,6482.0
Kingpin,25023424.0,32223424.0,,25000000.0,Jul 26 1996,R,113.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51.0,6.7,28404.0
The Long Kiss Goodnight,33447612.0,33447612.0,,65000000.0,Oct 11 1996,R,120.0,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69.0,6.6,28257.0
Last Man Standing,18115927.0,18115927.0,,67000000.0,Sep 20 1996,R,100.0,New Line,Original Screenplay,Action,Historical Fiction,Walter Hill,,,
Aliens,85160248.0,183316455.0,,17000000.0,Jul 18 1986,R,137.0,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100.0,7.5,84.0
Mars Attacks!,37771017.0,101371017.0,,80000000.0,Dec 13 1996,PG-13,110.0,Warner Bros.,Original Screenplay,Comedy,Science Fiction,Tim Burton,50.0,6.3,76396.0
The Mirror Has Two Faces,41267469.0,41267469.0,,42000000.0,Nov 15 1996,PG-13,127.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Barbra Streisand,54.0,6.0,6055.0
Mission: Impossible,180981886.0,456481886.0,,80000000.0,May 21 1996,PG-13,110.0,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Brian De Palma,,6.9,86222.0
Multiplicity,20133326.0,20133326.0,,45000000.0,Jul 17 1996,PG-13,117.0,Sony Pictures,Based on Book/Short Story,Comedy,Science Fiction,Harold Ramis,44.0,5.7,11935.0
The English Patient,78716374.0,231716374.0,,35000000.0,Nov 15 1996,R,160.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83.0,7.3,54484.0
The Nutty Professor,128814019.0,273814019.0,,55000000.0,Jun 28 1996,PG-13,95.0,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67.0,5.6,32234.0
Phenomenon,104636382.0,142836382.0,,32000000.0,Jul 05 1996,PG,124.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50.0,6.3,26823.0
The Phantom,17220599.0,17220599.0,,45000000.0,Jun 07 1996,PG,100.0,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43.0,4.8,9477.0
The Adventures of Pinocchio,15382170.0,36682170.0,,25000000.0,Jul 26 1996,G,94.0,New Line,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27.0,5.3,1734.0
Ransom,136492681.0,308700000.0,,70000000.0,Nov 08 1996,R,121.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70.0,6.6,38524.0
Rumble in the Bronx,32281907.0,36238752.0,,7500000.0,Feb 23 1996,R,100.0,New Line,Original Screenplay,Action,Contemporary Fiction,,,,
Romeo+Juliet,46338728.0,147542381.0,,14500000.0,Nov 01 1996,PG-13,120.0,20th Century Fox,Based on Play,Drama,Contemporary Fiction,Baz Luhrmann,,6.5,78.0
The Rock,134069511.0,336069511.0,,75000000.0,Jun 07 1996,R,136.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66.0,7.2,108324.0
Sgt. Bilko,30356589.0,37956589.0,,39000000.0,Mar 29 1996,PG,93.0,Universal,Based on TV,Comedy,Contemporary Fiction,,33.0,5.2,9693.0
Shine,35811509.0,35811509.0,,5500000.0,Nov 22 1996,PG-13,105.0,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90.0,7.6,22439.0
Set It Off,36049108.0,36049108.0,,9000000.0,Nov 06 1996,R,120.0,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61.0,6.3,4570.0
Thinner,15171475.0,15171475.0,,14000000.0,Oct 25 1996,R,93.0,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,18.0,5.3,7888.0
Sling Blade,24475416.0,34175000.0,,4833610.0,Nov 20 1996,R,133.0,Miramax,Based on Short Film,Drama,Contemporary Fiction,,96.0,8.0,41785.0
Sleepers,53300852.0,165600852.0,,44000000.0,Oct 18 1996,R,105.0,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73.0,7.3,51874.0
Stonewall,304602.0,304602.0,,2000000.0,Jul 26 1996,R,99.0,Strand,Based on Real Life Events,Drama,Dramatization,,,7.0,741.0
Striptease,32773011.0,32773011.0,,50000000.0,Jun 28 1996,R,115.0,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Andrew Bergman,12.0,3.9,18012.0
Saints and Soldiers,1310470.0,1310470.0,,780000.0,Aug 06 2004,PG-13,90.0,Excel Entertainment,Based on Real Life Events,Drama,Dramatization,Ryan Little,,7.0,7581.0
Spy Hard,26936265.0,26936265.0,,18000000.0,May 24 1996,PG-13,81.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,7.0,4.7,12682.0
Tin Cup,53854588.0,75854588.0,,45000000.0,Aug 16 1996,R,105.0,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ron Shelton,69.0,6.1,17274.0
The Fan,18582965.0,18582965.0,,55000000.0,Aug 16 1996,R,117.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Tony Scott,40.0,5.6,20640.0
The Craft,24769466.0,55669466.0,,15000000.0,May 03 1996,R,100.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Fantasy,Andrew Fleming,45.0,5.9,21130.0
Trainspotting,16501785.0,24000785.0,,3100000.0,Jul 19 1996,R,94.0,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Danny Boyle,89.0,8.2,150483.0
A Time to Kill,108766007.0,152266007.0,,40000000.0,Jul 24 1996,R,150.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,68.0,7.1,38577.0
That Thing You Do!,25857416.0,31748615.0,,2500000.0,Oct 04 1996,PG,110.0,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Tom Hanks,92.0,6.7,25916.0
Twister,241888385.0,495900000.0,,88000000.0,May 10 1996,PG-13,117.0,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Jan De Bont,57.0,6.0,61665.0
The Work and the Glory: American Zion,2025032.0,2025032.0,,6500000.0,Oct 21 2005,PG-13,100.0,Vineyard Distribution,Based on Book/Short Story,Drama,Historical Fiction,,,5.6,365.0
The Wizard of Oz,28202232.0,28202232.0,,2777000.0,Aug 25 2039,G,103.0,Warner Bros.,Based on Book/Short Story,Musical,Fantasy,King Vidor,,8.3,102795.0
Executive Decision,56679192.0,122079192.0,,55000000.0,Mar 15 1996,R,132.0,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,65.0,6.3,18569.0
Extreme Measures,17378193.0,17378193.0,,38000000.0,Sep 27 1996,R,117.0,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Michael Apted,55.0,5.9,8038.0
Eye for an Eye,26792700.0,26792700.0,,20000000.0,Jan 12 1996,R,101.0,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,John Schlesinger,,5.7,4837.0
102 Dalmatians,66941559.0,66941559.0,,85000000.0,Nov 22 2000,G,100.0,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Kevin Lima,30.0,4.4,7147.0
Ten Things I Hate About You,38177966.0,38177966.0,,13000000.0,Mar 31 1999,PG-13,97.0,Walt Disney Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,,,6.9,61910.0
12 Rounds,12234694.0,18184083.0,8283859.0,20000000.0,Mar 27 2009,PG-13,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,28.0,5.4,8914.0
13 Going On 30,57139723.0,96439723.0,,30000000.0,Apr 23 2004,PG-13,98.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Gary Winick,,6.1,32634.0
Thirteen Ghosts,41867960.0,68467960.0,,19000000.0,Oct 26 2001,R,91.0,Warner Bros.,Original Screenplay,Horror,Fantasy,,,5.1,23243.0
1408,71985628.0,128529299.0,49668544.0,22500000.0,Jun 22 2007,PG-13,102.0,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,78.0,6.9,72913.0
15 Minutes,24375436.0,56331864.0,,42000000.0,Mar 09 2001,R,120.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,32.0,6.1,25566.0
2012,166112167.0,766812167.0,50736023.0,200000000.0,Nov 13 2009,PG-13,158.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Roland Emmerich,39.0,6.2,396.0
28 Days,37035515.0,62063972.0,,43000000.0,Apr 14 2000,PG-13,103.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Betty Thomas,30.0,5.8,17937.0
28 Days Later...,45064915.0,82719885.0,,15000000.0,Jun 27 2003,R,113.0,Fox Searchlight,Original Screenplay,Horror,Science Fiction,Danny Boyle,89.0,7.6,103525.0
28 Weeks Later,28638916.0,64238440.0,24422887.0,15000000.0,May 11 2007,R,91.0,20th Century Fox,Original Screenplay,Horror,Science Fiction,,,7.1,69558.0
2 For the Money,22991379.0,27848418.0,,20000000.0,Oct 07 2005,R,123.0,Universal,Original Screenplay,Drama,Contemporary Fiction,D.J. Caruso,,,
Secondhand Lions,42023715.0,47855342.0,,30000000.0,Sep 19 2003,PG,111.0,New Line,Original Screenplay,Drama,Historical Fiction,,60.0,7.5,19040.0
Two Can Play That Game,22235901.0,22391450.0,,13000000.0,Sep 07 2001,R,91.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,43.0,5.6,2370.0
Two Weeks Notice,93354918.0,199043309.0,,60000000.0,Dec 20 2002,PG-13,110.0,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42.0,5.8,35515.0
300,210614939.0,456068181.0,261252400.0,60000000.0,Mar 09 2007,R,117.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60.0,7.8,235508.0
Three Kings,60652036.0,107752036.0,,48000000.0,Oct 01 1999,R,115.0,Warner Bros.,Original Screenplay,Action,Historical Fiction,David O. Russell,94.0,7.3,68726.0
3:10 to Yuma,53606916.0,69791889.0,51359371.0,48000000.0,Sep 02 2007,R,117.0,Lionsgate,Remake,Western,Historical Fiction,James Mangold,89.0,7.9,98355.0
40 Days and 40 Nights,37939782.0,95092667.0,,17000000.0,Mar 01 2002,R,96.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Michael Lehmann,38.0,5.4,27912.0
The 40 Year-old Virgin,109449237.0,177339049.0,,26000000.0,Aug 19 2005,R,111.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,,7.5,94557.0
Four Brothers,74494381.0,92494381.0,,30000000.0,Aug 12 2005,R,109.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,52.0,6.8,38311.0
50 First Dates,120776832.0,196376832.0,,75000000.0,Feb 13 2004,PG-13,99.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Segal,44.0,6.8,64701.0
The 6th Day,34543701.0,96024898.0,,82000000.0,Nov 17 2000,PG-13,123.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Roger Spottiswoode,40.0,5.8,32606.0
88 Minutes,16930884.0,32955399.0,11385055.0,30000000.0,Apr 18 2008,R,106.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,5.0,5.9,31205.0
8 Mile,116724075.0,242924075.0,,41000000.0,Nov 08 2002,R,110.0,Universal,Original Screenplay,Drama,Contemporary Fiction,Curtis Hanson,74.0,6.7,55877.0
The Whole Nine Yards,57262492.0,85262492.0,,24000000.0,Feb 18 2000,R,99.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,45.0,6.6,42928.0
About a Boy,40803000.0,129949664.0,,27000000.0,May 17 2002,PG-13,101.0,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Paul Weitz,93.0,7.4,48875.0
A Bug's Life,162798565.0,363109485.0,,45000000.0,Nov 20 1998,G,96.0,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,John Lasseter,91.0,7.3,56866.0
Absolute Power,50068310.0,50068310.0,,50000000.0,Feb 14 1997,R,120.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,46.0,6.5,20154.0
Aeon Flux,25857987.0,47953341.0,21927972.0,55000000.0,Dec 02 2005,PG-13,88.0,Paramount Pictures,Based on TV,Action,Science Fiction,,10.0,8.1,1193.0
After the Sunset,28328132.0,38329114.0,,57000000.0,Nov 12 2004,PG-13,97.0,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,18.0,6.2,19793.0
A Good Year,7459300.0,42064105.0,7342760.0,35000000.0,Nov 10 2006,PG-13,118.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24.0,6.8,23149.0
Agora,599903.0,32912303.0,,70000000.0,May 28 2010,R,141.0,Newmarket Films,Original Screenplay,Drama,Historical Fiction,,,7.3,10054.0
Air Bud,24646936.0,27555061.0,,3000000.0,Aug 01 1997,PG,97.0,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Charles Martin Smith,45.0,4.6,4698.0
Air Force One,172956409.0,315268353.0,,85000000.0,Jul 25 1997,R,124.0,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Wolfgang Petersen,78.0,6.3,61394.0
All the King's Men,7221458.0,9521458.0,,55000000.0,Sep 22 2006,PG-13,128.0,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Steven Zaillian,11.0,6.0,11994.0
The Alamo,22406362.0,23911362.0,,92000000.0,Apr 09 2004,PG-13,137.0,Walt Disney Pictures,Based on Real Life Events,Western,Dramatization,,30.0,5.9,10063.0
All About the Benjamins,25482931.0,25873145.0,,14000000.0,Mar 08 2002,R,95.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,Kevin Bray,29.0,5.3,4366.0
Sweet Home Alabama,127214072.0,163379330.0,,38000000.0,Sep 27 2002,PG-13,109.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Tennant,37.0,5.8,29891.0
Fat Albert,48114556.0,48563556.0,,45000000.0,Dec 25 2004,PG,93.0,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,Joel Zwick,21.0,4.0,4801.0
Ali,58183966.0,84383966.0,,109000000.0,Dec 25 2001,R,159.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Michael Mann,67.0,6.6,31785.0
Alien: Resurrection,47795018.0,160700000.0,,60000000.0,Nov 26 1997,R,108.0,20th Century Fox,Original Screenplay,Action,Science Fiction,Jean-Pierre Jeunet,,6.2,66141.0
Almost Famous,32522352.0,47371191.0,,60000000.0,Sep 15 2000,R,123.0,Dreamworks SKG,Original Screenplay,Comedy,Dramatization,Cameron Crowe,88.0,8.0,94424.0
Evan Almighty,100289690.0,173219280.0,38038256.0,175000000.0,Jun 22 2007,PG,78.0,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23.0,5.5,43164.0
Bruce Almighty,242704995.0,485004995.0,,81000000.0,May 23 2003,PG-13,101.0,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,48.0,6.6,92494.0
Alone in the Dark,5178569.0,8178569.0,,20000000.0,Jan 28 2005,R,96.0,Lionsgate,Based on Game,Horror,Fantasy,Uwe Boll,1.0,2.3,26028.0
Along Came a Spider,74058698.0,105159085.0,,28000000.0,Apr 06 2001,R,103.0,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Lee Tamahori,32.0,6.1,22994.0
Alvin and the Chipmunks,217326974.0,360578644.0,137516182.0,55000000.0,Dec 14 2007,PG,92.0,20th Century Fox,Based on TV,Comedy,Kids Fiction,Tim Hill,27.0,5.5,19200.0
Alexander,34297191.0,167297191.0,,155000000.0,Nov 24 2004,R,175.0,Warner Bros.,Based on Real Life Events,Adventure,Dramatization,Oliver Stone,16.0,5.4,59498.0
American Beauty,130058047.0,356258047.0,,15000000.0,Sep 15 1999,R,118.0,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Sam Mendes,89.0,8.6,292562.0
An American Carol,7013191.0,7013191.0,,20000000.0,Oct 03 2008,PG-13,84.0,Vivendi Entertainment,Original Screenplay,Comedy,Fantasy,David Zucker,12.0,4.5,6000.0
Le Fabuleux destin d'AmÈlie Poulain,33201661.0,174201661.0,,10350000.0,Nov 02 2001,R,122.0,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Jean-Pierre Jeunet,,8.5,181085.0
American Gangster,130164645.0,265697825.0,72653959.0,100000000.0,Nov 02 2007,R,157.0,Universal,Based on Real Life Events,Drama,Dramatization,Ridley Scott,79.0,7.9,114060.0
Amistad,44212592.0,44212592.0,,40000000.0,Dec 12 1997,R,152.0,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,77.0,7.1,28477.0
American Pie 2,145096820.0,286500000.0,,30000000.0,Aug 10 2001,R,105.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,,52.0,6.2,66751.0
American Wedding,104354205.0,126425115.0,,55000000.0,Aug 01 2003,R,96.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,,56.0,6.1,52210.0
American Pie,101800948.0,234800000.0,,12000000.0,Jul 09 1999,R,95.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,59.0,6.9,106624.0
America's Sweethearts,93607673.0,157627733.0,,46000000.0,Jul 20 2001,PG-13,103.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,32.0,5.7,26899.0
The Amityville Horror,65233369.0,108047131.0,,18500000.0,Apr 15 2005,R,89.0,MGM,Remake,Horror,Historical Fiction,,24.0,5.8,26303.0
Anacondas: The Hunt for the Blood Orchid,31526393.0,70326393.0,,25000000.0,Aug 27 2004,PG-13,97.0,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,Dwight H. Little,,4.3,9565.0
Anaconda,65598907.0,136998907.0,,45000000.0,Apr 11 1997,PG-13,89.0,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,38.0,4.2,29430.0
Anastasia,58403409.0,139801410.0,,53000000.0,Nov 14 1997,G,94.0,20th Century Fox,Based on Book/Short Story,Musical,Factual,Don Bluth,85.0,6.6,16513.0
Anchorman: The Legend of Ron Burgundy,84136909.0,89366354.0,,25000000.0,Jul 09 2004,PG-13,104.0,Dreamworks SKG,Original Screenplay,Comedy,Historical Fiction,Adam McKay,,7.0,78249.0
Angel Eyes,24044532.0,24044532.0,,38000000.0,May 18 2001,R,103.0,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,32.0,5.5,11089.0
Anger Management,135560942.0,195660942.0,,56000000.0,Apr 11 2003,PG-13,106.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,43.0,6.1,57088.0
A Night at the Roxbury,30331165.0,30331165.0,,17000000.0,Oct 02 1998,PG-13,81.0,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,11.0,5.7,23259.0
The Animal,55762229.0,55762229.0,,22000000.0,Jun 01 2001,PG-13,83.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Luke Greenfield,30.0,4.6,18601.0
Anna and the King,39251128.0,39251128.0,,75000000.0,Dec 17 1999,PG-13,147.0,20th Century Fox,Based on Book/Short Story,Drama,Dramatization,Andy Tennant,51.0,6.5,14881.0
Analyze That,32122249.0,54994757.0,,60000000.0,Dec 06 2002,R,96.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,27.0,5.6,24090.0
Analyze This,106885658.0,176885658.0,,30000000.0,Mar 05 1999,R,103.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,68.0,6.6,52894.0
Antz,90757863.0,152457863.0,,60000000.0,Oct 02 1998,PG,83.0,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Tim Johnson,95.0,6.8,37343.0
Anywhere But Here,18653615.0,18653615.0,,23000000.0,Nov 12 1999,PG-13,114.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Wayne Wang,64.0,5.9,8514.0
Apocalypto,50866635.0,117785051.0,43318599.0,40000000.0,Dec 08 2006,R,136.0,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,Mel Gibson,64.0,7.9,82162.0
The Apostle,20733485.0,21277770.0,,5000000.0,Dec 17 1997,PG-13,148.0,October Films,Original Screenplay,Drama,Contemporary Fiction,Robert Duvall,91.0,7.1,7757.0
Are We There Yet?,82674398.0,97918663.0,,20000000.0,Jan 21 2005,PG,94.0,Sony Pictures,Original Screenplay,Romantic Comedy,Kids Fiction,Brian Levant,12.0,4.2,8740.0
Arlington Road,24419219.0,24419219.0,,21500000.0,Jul 09 1999,R,117.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,60.0,7.2,36051.0
Armageddon,201578182.0,554600000.0,,140000000.0,Jul 01 1998,PG-13,150.0,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Michael Bay,42.0,6.1,194.0
King Arthur,51877963.0,203877963.0,,90000000.0,Jul 07 2004,PG-13,126.0,Walt Disney Pictures,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Antoine Fuqua,31.0,6.2,53106.0
Arthur et les Minimoys,15132763.0,110102340.0,13012362.0,80000000.0,Dec 15 2006,PG,122.0,Weinstein Co.,Based on Book/Short Story,Adventure,Fantasy,Luc Besson,,5.9,7626.0
Artificial Intelligence: AI,78616689.0,235900000.0,,90000000.0,Jun 29 2001,PG-13,146.0,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Steven Spielberg,,6.9,91901.0
The Art of War,30199105.0,30199105.0,,40000000.0,Aug 25 2000,R,117.0,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Christian Duguay,16.0,5.5,12484.0
