MeetID,Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat4Kg,BestSquatKg,Bench4Kg,BestBenchKg,Deadlift4Kg,BestDeadliftKg,TotalKg,Place,Wilks
1471,Kotomi Hayakawa,F,Single-ply,21.5,Juniors,46.52,47,,140.0,,92.5,,145.0,377.5,2,511.45
7572,Todd Kezerian,M,Multi-ply,56.0,Master Men 55-59,107.5,110,,215.0,,172.5,,200.0,587.5,1,348.27
5068,Marielle Rayer,F,Raw,,Amateur Junior,68.13,75,,88.45,,54.43,,104.33,247.21,2,250.64
267,J. Anderson,M,Single-ply,,Open,89.6,90,,182.5,,110.0,,245.0,537.5,2,343.92
7351,Ian Pfaff,M,Raw,16.5,R-O,77.2,82.5,,130.0,,92.5,,142.5,365.0,2,255.01
7186,Mikelina Belaineh,F,Raw,,R-O,81.8,84,,170.0,,85.0,,192.5,447.5,1,404.54
2475,Vidar Jøssang,M,Single-ply,,Open,84.0,93,,105.0,,80.0,,120.0,305.0,2,202.16
4776,Jeremy Martin,M,Raw,26.5,,99.25,105,,232.5,,130.0,,285.0,647.5,1,395.26
1429,Mikhail Andryukhin,M,Raw,41.5,,65.75,66,,215.0,,135.0,,250.0,600.0,3,472.59
7941,Josh Ward,M,Raw,25.0,Open,108.6,110,,147.5,,132.5,,190.0,470.0,2,277.70099999999996
6615,Jasper Evans,M,Raw,38.5,R-O,86.86,93,,227.5,,142.5,,237.5,607.5,1,395.15
112,Richard Kelly,M,Single-ply,63.0,M_MES_5_AWPC,190.0,140+,,,-192.5,185.0,,,185.0,1,98.78
1736,Per Ove Sjøl,M,Single-ply,,Open,109.5,110,,275.0,,200.0,,290.0,765.0,1,450.83
937,Erika Stark,F,Raw,,Junior,66.8,72,,95.0,,52.5,,110.0,257.5,1,264.79
6475,Tyler DeLaRosa,M,Raw,17.0,UPA M-T,108.77,110,,,,152.5,,,152.5,1,90.06
4673,Caleb Voice,M,Raw,25.5,Open,81.1,83,,,,190.0,,,190.0,1,128.61
8199,Ashley Bowman,F,Raw,32.0,Open,65.9,67.5,,130.0,,80.0,,175.0,385.0,1,399.83
7647,Philip Runge,M,Single-ply,25.0,Open Men,80.01,82.5,,227.5,,125.0,,210.0,562.5,1,383.974
6572,Kurtis Yim,M,Raw,,R-T3,57.3,59,,162.5,,85.0,,165.0,412.5,1,367.28
595,Gregory Young,M,Single-ply,,Junior,112.5,125,,272.5,,160.0,,252.5,685.0,1,400.44
5182,Conor Silkey,M,Wraps,,Amateur Junior 20-23,79.38,82.5,,181.44,,113.4,,204.12,498.95,1,342.32
6692,Jordan Weaver,F,Raw,,R-O,84.1,84+,,102.5,,65.0,,110.0,277.5,3,247.31
7361,Anthony Maas,M,Single-ply,16.5,Male,79.6,,,,,102.1,,197.3,299.4,2,205.05
708,Eytan Rip,M,Single-ply,,Open,82.2,82.5,,165.0,,130.0,,192.5,487.5,2,327.29
6032,Josh Trevino,M,Single-ply,,Boys,142.88,125+,,294.84,,185.97,,267.62,748.43,1,416.98
1350,Joshua McIntyre,M,Raw,32.0,,140.0,140,,,,174.63,,,174.63,1,97.58
7414,William Redman,M,Single-ply,,T2,66.8,67.5,,152.5,,115.0,,237.5,505.0,1,392.64
8032,Raquel Ginez,F,Raw,37.0,Submaster 35-39,61.25,67.5,,80.0,,40.0,,87.5,207.5,1,227.687
4237,Robbie Unsworth,M,Single-ply,35.0,Open,88.38,93,,185.0,,130.0,,230.0,545.0,1,351.21
7175,Madeleine Forberg,F,Raw,19.5,R-O,56.5,57,,132.5,,75.0,,142.5,350.0,1,408.95
7345,Abigail Momberg,F,Single-ply,16.5,HS,62.8,67.5,,110.0,,57.5,,130.0,297.5,11,320.27
6282,George Villanueva,M,Single-ply,,Boys,98.88,100,,226.8,,133.81,,204.12,564.72,3,345.25
6988,Nicholas Torrisi,M,Raw,20.5,R-JR,92.2,93,,225.0,,147.5,,247.5,620.0,1,391.09
8156,Miguel Baula,M,Raw,27.0,Open,87.9,90,,160.0,,117.5,,197.5,475.0,4,306.99
5746,Jadan Thomas,M,Single-ply,,Boys,125.87,125+,,183.7,,115.67,,183.7,483.08,4,274.9
7575,Frank Gallagher,M,Raw,29.0,Open Men,74.93,75,,180.0,,107.5,,238.0,525.5,2,374.67900000000003
1332,Dave Barth,M,Raw,,Pro Open,100.0,100,,,,,,274.42,274.42,1,167.01
5775,Marco Pardo,M,Single-ply,,Boys,115.03,125,,197.31,,74.84,,179.17,451.32,12,262.22
7824,April Hawkes,F,Wraps,34.0,Open,47.45,48,,80.0,,50.0,,87.5,217.5,1,290.518
7019,Benjamin Zahn,M,Single-ply,,HSJV,84.7,90,,155.0,,,,180.0,,DQ,
1456,Seiken Sano,M,Single-ply,20.5,Juniors,111.4,120,,295.0,,210.0,,275.0,780.0,5,457.28
6906,Ameeruddeen Shamsul-bahri,M,Raw,,R-T2,81.0,83,,182.5,,152.5,,202.5,537.5,1,364.12
7628,Lily Starobin,F,Single-ply,24.0,Open Women,54.2,56,,,,,,107.5,107.5,3,129.76
6105,Brayden Bell,M,Single-ply,,Boys,55.79,56,,99.79,,52.16,,108.86,260.82,4,238.31
5297,Montey Cotman,M,Wraps,,Open,136.08,140,,305.0,,205.0,,342.5,852.5,1,478.47
6843,Aaron Wicker,M,Raw,,R-O,89.4,93,,177.5,,112.5,,195.0,485.0,2,310.68
6143,Harrison Camp,M,Single-ply,,Boys,,,,,,,,,,DQ,
465,John MacEachern,M,Single-ply,,Open,117.0,125,,292.5,,185.0,,272.5,750.0,1,433.84
7345,Katrina Dunbar,F,Single-ply,16.5,HS,58.8,60,,125.0,,55.0,,130.0,310.0,9,351.08
978,Kenneth Blaylock,M,Raw,,Open,120.3,120+,,155.0,,110.0,,227.5,492.5,1,282.99
5471,Scott Shaughnessy,M,Wraps,,Light,99.11,100,,207.5,,147.5,,227.5,582.5,2,355.79
5416,Billy Sanders,M,Raw,42.0,M-M-R,88.9,90,,,,158.76,,,158.76,2,102.0
870,Matthew Lewis,M,Raw,,Open,80.9,83,,172.5,,122.5,,215.0,510.0,1,345.75
5968,Keenon Ponder,M,Single-ply,,Boys,109.5,110,,204.12,,138.35,,213.19,555.65,2,327.46
7076,Brittany Robles,F,Raw,28.5,R-O,53.9,57,,92.5,,40.0,,125.0,257.5,3,312.18
4999,Chris Manco,M,Multi-ply,,Amateur Open,74.84,75,,199.58,,131.54,,181.44,512.56,1,365.77
4205,Patricia Buckman,F,Single-ply,,Masters 2,66.0,67.5,,,,71.0,,,71.0,1,73.65
710,Karun Samra,M,Single-ply,,Sub-Junior,80.9,82.5,,,,30.0,,,30.0,1,20.34
853,Chris Wallace,M,Raw,,Sub-Junior,92.9,93,,95.0,,85.0,,95.0,275.0,3,172.84
6403,Lazaro Garcia,M,Single-ply,,Boys,113.67,125,,283.5,,161.03,,267.62,712.14,12,415.1
8480,Lauren O'Toole,F,Wraps,,Pro,73.3,75,,190.51,,86.18,,183.7,460.4,7,444.12
263,Brian Bellway,M,Single-ply,,Open,130.0,140+,,160.0,,142.5,,255.0,557.5,2,315.32
8305,Mitchell Hoenig,M,Raw,23.0,Open,74.8,75,,195.0,,120.0,,235.0,550.0,1,392.64
4443,Andrew Logan,M,Single-ply,,Open,122.9,125,,345.0,,220.0,,307.5,872.5,1,498.95
5582,JT Russell,M,Wraps,,Teens 13-15,50.71,52,,83.91,,40.82,,102.06,226.8,1,228.55
5793,Jace Hankins,M,Single-ply,,Boys,82.01,82.5,,201.85,,120.2,,213.19,535.24,2,359.85
6289,Myles Knudsen,M,Single-ply,,Boys,65.59,67.5,,149.69,,74.84,,170.1,394.63,8,311.46
6661,Jim Beasley,M,Raw,61.5,R-M3a,103.1,105,,142.5,,97.5,,192.5,432.5,1,260.15
7644,Brad Hill,M,Wraps,26.0,Open Men,73.75,75,,182.5,,-137.5,,202.5,,DQ,
6685,Don McKinney,M,Raw,,R-M2a,124.1,120+,,200.0,,157.5,,220.0,577.5,1,329.57
1217,Charlene Cretin,F,Single-ply,,Open,68.2,72,,152.5,,90.0,,167.5,410.0,1,415.39
7566,Jamie Ritter,F,Raw,65.0,Master Women 65-69,82.01,82.5,,40.82,,40.82,,58.97,140.61,1,126.94
1604,Ross Berg,M,Raw,,sm1,121.11,125,,,,202.5,,290.0,492.5,1,282.55
7136,Julie Verrall,F,Raw,,R-O,81.2,84,,107.5,,60.0,,137.5,305.0,2,276.81
1433,Nathan Walton,M,Single-ply,36.5,,73.7,74,,275.0,,190.0,,307.5,772.5,6,557.28
7737,Eldon Smith,M,Raw,50.0,Master Men 50-54,141.52,140+,,202.5,,147.5,,182.5,532.5,1,297.09
8365,Brad Dixon,M,Raw,56.0,Master 55-59,86.5,90,,,,,,197.5,197.5,1,128.76
5416,Dana Shealey,F,Raw,31.0,F-O-R,100.7,110,,,,127.01,,,127.01,1,105.53
5182,Sara Eichstaedt,F,Wraps,,Amateur Master 40-44,72.94,75,,,,72.57,,170.1,242.67,2,234.84
7722,Rebecca Brady,F,Raw,29.0,Open Women,65.05,67.5,,,,37.5,,,37.5,1,39.321
227,Jayden Lucier,M,Wraps,21.0,MJ-RA,100.0,100,,235.0,,172.5,,232.5,640.0,1,389.5
1479,Hideaki Inaba,M,Single-ply,,,52.0,52,,220.0,,120.0,,225.0,565.0,1,554.42
422,Brandon Summers,M,Single-ply,,Junior,72.15,75,,195.0,,120.0,,227.5,542.5,2,397.43
6696,John Mason,M,Raw,50.5,R-O,129.6,120+,,207.5,,192.5,,205.0,605.0,4,342.37
5218,Jason Moran,M,Wraps,,Amateur Junior 20-23,98.61,100,,235.87,,151.95,,260.82,648.64,1,397.01
6557,Andre Villapando,M,Raw,21.5,R-JR,92.1,93,,172.5,,125.0,,190.0,487.5,3,307.67
7225,Marwan Awan,M,Single-ply,,JR,74.0,74,,162.5,,,,175.0,,DQ,
4518,Patrick Whymark,M,Raw,,M1,93.0,93,,220.0,,130.0,,245.0,595.0,3,373.77
6119,John Eguia,M,Single-ply,,Boys,87.91,90,,170.1,,117.93,,172.37,460.4,11,297.53
7424,Michelle Amsden,F,Single-ply,21.0,Junior,55.7,56,,145.0,,72.5,,165.0,382.5,1,451.95
3585,Vidar Alexander Ringvold,M,Single-ply,,Master 40-49,117.3,125,,225.0,,190.0,,200.0,615.0,2,355.52
6570,Lee Crisp,M,Raw,,R-M1,152.9,120+,,222.5,,162.5,,242.5,627.5,1,346.26
8211,Ramona Patterson,F,Wraps,56.0,Master 55-59,64.6,67.5,,82.5,,52.5,,122.5,257.5,1,271.39
3028,Mito Inagat,M,Single-ply,,Teen 14-18,74.6,75,,,,127.5,,,127.5,2,91.19
1533,Meredith Price,F,Wraps,,int,59.96,60,,70.0,,42.5,,112.5,225.0,2,250.98
5054,Tucker Beal,M,Wraps,,Pro Open,74.48,75,,256.28,,136.08,,242.67,635.03,1,454.7
1602,Jeff Miller,M,Raw,,m2,99.88,100,,,,140.0,,195.0,335.0,1,203.98
7115,Michael Lin,M,Raw,,R-JR,94.3,105,,205.0,,140.0,,237.5,582.5,1,363.56
8243,Stephanie Stephens,F,Single-ply,37.0,Open,77.3,82.5,,192.5,,125.0,,190.0,507.5,1,473.64
6536,Cole Simms,M,Raw,15.5,R-T2,122.5,125,,172.5,,145.0,,172.5,490.0,1,280.41
7628,Carrie Grissinger,F,Raw,34.0,Open Women,66.86,67.5,,110.0,,62.5,,120.0,292.5,1,300.59
8456,Sofiya Shelestova,F,Raw,23.0,Tested Amateur Juniors,50.6,52,,,,40.0,,95.0,135.0,1,171.86
1602,Larry Dennis,M,Single-ply,,m2,88.54,90,,,-187.5,182.5,,182.5,365.0,1,234.99
373,Brandon Summers,M,Single-ply,,Open,67.9,75,,180.0,,125.0,,217.5,522.5,3,400.96
1554,Megan Galan,F,Wraps,,jr,97.7,90+,,117.5,-70.0,67.5,,145.0,330.0,1,276.71
565,Gibby Chasse,M,Single-ply,,Open,100.0,100,,220.0,,200.0,,232.5,652.5,3,397.1
266,M. McMurren,M,Single-ply,,Open,105.4,110,,227.5,,152.5,,287.5,667.5,1,398.34
4287,Bessing Chiwona,M,Raw,27.0,Open,58.88,59,,,,95.0,,,95.0,1,82.44
5921,Redhorse Warren,M,Single-ply,,Boys,74.03,75,,208.65,,113.4,,201.85,523.9,2,376.74
1615,Arnie Toledo,M,Raw,,nov,115.21,125,,,,140.0,,215.0,355.0,1,206.17
5062,Christopher McCray,M,Raw,,Amateur Junior,72.67,75,,106.59,,79.38,,165.56,351.53,3,256.18
1192,Natasha Dunn-Kvedaras,F,Raw,,Master 1,66.6,72,,130.0,,82.5,,137.5,350.0,1,360.69
1304,Hope Town,F,Wraps,22.0,F-OR,65.7,67.5,,140.0,,60.0,,150.0,350.0,4,364.3
5917,Luis Avila,M,Single-ply,,Boys,59.92,67.5,,120.2,,74.84,,142.88,337.93,9,288.56
6555,Travis Miller,M,Raw,38.5,R-O,131.8,120+,,240.0,,182.5,,250.0,672.5,2,379.44
6889,Jennifer Hemingway,F,Raw,23.5,R-O,71.9,72,,,,62.5,,162.5,225.0,1,219.81
6164,Richard Charlson,M,Single-ply,,Boys,72.57,75,,120.2,,61.23,,,181.44,16,132.36
1440,Oleksiy Bychkov,M,Single-ply,28.5,,111.8,120,,385.0,,300.0,,365.0,1050.0,3,614.93
3998,Martin Ringsrud,M,Single-ply,,Teen 14-18,87.5,90,,185.0,,145.0,,185.0,515.0,1,333.65
2907,Lisa Ollestad Hansen,F,Single-ply,,Teen 14-18,71.3,72,,,,85.0,,,85.0,1,83.51
2851,Ørjan Madsen,M,Raw,,Open,73.6,74,,150.0,,125.0,,170.0,445.0,1,321.33
7698,Brandi Purchas,F,Raw,29.0,Open,78.11,82.5,,,,,,102.5,102.5,1,95.07
6048,Beau Ramos,M,Single-ply,,Boys,73.57,75,,204.12,,115.67,,208.65,528.44,7,381.7
7232,Jared Theriault,M,Raw,,R-JR,72.5,74,,175.0,,120.0,,205.0,500.0,3,365.0
6376,Nick Rodriguez,M,Single-ply,,Boys,70.58,75,,201.85,,117.93,,204.12,523.9,5,390.15
4761,Dave Napper,M,Raw,28.5,,119.2,120,,290.0,,155.0,,305.0,750.0,1,431.87
3182,Elise Malme,F,Single-ply,,Junior 19-23,64.85,72,,,,85.0,,,85.0,1,89.33
7758,James Basile,M,Raw,29.0,Open Men,129.27,140,,,,160.0,,-192.5,,DQ,
8034,Jadynn Mendez,M,Raw,13.0,Junior Men,53.4,56,,80.0,,47.5,,100.0,227.5,1,217.19
6538,Moe Rucker,M,Raw,,R-O,133.6,120+,,,,110.0,,160.0,270.0,2,151.99
4990,Vyacheslav Serebrianik,M,Raw,,Amateur Open,95.25,100,,,,142.88,,,142.88,1,88.77
2076,Bjarne Synstad,M,Single-ply,,Master 50-59,81.9,82.5,,,,210.0,,,210.0,1,141.3
544,Michael Eldridge,M,Single-ply,,Master 2,110.0,110,,240.0,,122.5,,260.0,622.5,1,366.34
73,Ryan Jung,M,Raw,24.0,M_OR_APF,80.5,82.5,,202.5,,120.0,,207.5,530.0,2,360.42
6820,Brian Yang,M,Raw,,R-O,73.8,74,,155.0,,122.5,,187.5,465.0,5,335.12
5944,Jordan Estell,M,Single-ply,,Boys,54.16,56,,124.74,,79.38,,181.44,385.55,1,362.83
5800,Kendrick Williams-Green,M,Single-ply,,Boys,65.91,67.5,,147.42,,72.57,,147.42,367.41,1,288.81
8479,Sarah Mercy,F,Wraps,,Pro Open,58.97,60,,120.2,,58.97,,158.76,337.93,3,381.86
7115,Robert Roth,M,Raw,,R-O,101.5,105,,240.0,,145.0,,340.0,725.0,1,438.66
2510,Gudsteinn Arnason,M,Single-ply,,Teen 14-18,103.25,105,,245.0,,160.0,,240.0,645.0,4,387.76
7665,Brett Kempski,M,Raw,17.0,Junior 16-17,80.65,82.5,160.0,152.5,,117.5,,195.0,465.0,1,315.85
2486,Runar Indahl,M,Single-ply,,Teen 14-18,82.5,83,,215.0,,122.5,,217.5,555.0,1,371.8
6994,Kevin Hejnas,M,Raw,22.5,R-C,101.1,105,,220.0,,155.0,,272.5,647.5,1,392.37
5767,Alfredo Martinez,M,Single-ply,,Boys,58.06,60,,92.99,,56.7,,124.74,274.42,6,241.3
7831,Elissa Jordan,F,Raw,18.0,Junior 18-19,71.44,75,144.0,137.5,,60.0,173.5,172.5,370.0,1,363.02
1463,Pirjo Kemppainen,F,Single-ply,64.5,Masters 3,48.28,52,,75.0,,35.0,,100.0,210.0,2,276.94
1607,Brian Leimer,M,Wraps,,pure,88.31,90,,207.5,,137.5,,237.5,582.5,1,375.54
227,Jason Boxtart,M,Raw,49.0,M2-R,95.8,100,,182.5,,152.5,,232.5,567.5,1,351.68
6742,Kim Griffin,F,Raw,,R-FR-M2,67.7,72,,75.0,,40.0,,102.5,217.5,1,221.52
7028,Monte Lofing,M,Raw,58.5,R-M2,65.61,66,,177.5,,102.5,,180.0,460.0,4,362.96
1081,Sam Burt,M,Raw,,Open,91.5,93,,165.0,,137.5,,207.5,510.0,2,322.9
6171,Keagan Landry,M,Single-ply,,Boys,78.11,82.5,,181.44,,129.27,,188.24,498.95,1,345.91
5217,Elvis Mendez,M,Raw,,Amateur Open,107.14,110,,172.37,,108.86,,226.8,508.02,3,301.49
6696,Adaku Taylor,F,Raw,30.5,R-O,67.45,72,,122.5,,87.5,,170.0,380.0,1,388.04
7023,Aaron Duran,M,Single-ply,,C,82.2,83,,207.5,,137.5,,,,DQ,
6482,Erin Zemanovic,F,Multi-ply,,AD Master 2,74.98,75,,,,95.0,,,95.0,1,90.33
2374,Gunnar Welde,M,Single-ply,,Master 50-59,83.9,90,,,,85.0,,,85.0,2,56.38
7301,Spencer Clague,M,Raw,,R-T2,72.7,74,,170.0,,102.5,,205.0,477.5,1,347.87
6963,James Thompson,M,Raw,,R-O,66.0,66,,140.0,,85.0,,187.5,412.5,1,323.89
97,Jim Galto,M,Raw,43.0,M_OR_APF,107.1,110,,207.5,,160.0,,250.0,617.5,2,366.5
6998,Ashley Nguyen,F,Raw,23.5,R-TJ,68.5,72,,102.5,,70.0,,140.0,312.5,1,315.62
6913,Kevin B Hermanson,M,Raw,47.5,R-O,87.55,93,,177.5,,122.5,,215.0,515.0,7,333.55
2584,Martin Opheim,M,Single-ply,,Open,127.2,120+,,,,195.0,,,195.0,1,110.74
7424,Kate Dingle-Craig,F,Single-ply,43.0,Masters (40-44),59.55,60,,115.0,,75.0,,142.5,332.5,1,372.87
7018,Laura Styrlund,F,Single-ply,,M2,77.0,84,,162.5,,125.0,,195.0,482.5,1,451.35
5713,Tee Cummins,M,Wraps,23.0,Open,99.79,100,,384.83,,195.0,,327.49,907.32,1,552.65
336,D. Miller,M,Single-ply,,Open,100.0,100,,205.0,,132.5,,245.0,582.5,3,354.5
7145,Haley Deutsch,F,Raw,,R-O,60.7,63,,117.5,,72.5,,135.0,325.0,2,359.1
7827,Ralen Johnson,F,Raw,,Open,67.22,67.5,,110.0,,62.5,,130.0,302.5,1,309.651
1404,Matthew Stinger,M,Raw,,Pro Submaster (33-39),105.28,110,,,147.42,142.88,,,142.88,1,85.3
7033,Caleb Lamberth,M,Single-ply,20.5,JR,93.8,105,,,,,,,,DQ,
5877,Camilo Salcedo,M,Single-ply,,Boys,78.47,82.5,,172.37,,102.06,,181.44,455.86,2,315.09
1534,Jon Cook,M,Raw,,m1,88.45,90,,172.5,,137.5,,207.5,517.5,1,333.35
4281,Sylvia Clarkson,F,Raw,,Masters 3,63.0,63,,,,42.5,,,42.5,1,45.64
5970,Daren Lowe,M,Single-ply,,Boys,109.77,110,,,,,,,,DQ,
7545,Ryan White,M,Single-ply,23.0,Junior Men 20-23,95.98,100,,210.0,,147.5,,237.5,595.0,1,368.41
6425,Christine Calace,F,Wraps,35.0,FOR,74.0,75,,92.5,,60.0,,135.0,287.5,2,275.64
1286,Santiago Velasquez,M,Wraps,,Junior,86.3,90,,225.0,,130.0,,300.0,655.0,1,427.56
6114,Kaylen Manzi,M,Single-ply,,Boys,74.84,75,,154.22,,102.06,,174.63,430.91,14,307.51
5202,Sarah Long,F,Raw,,Amateur Submaster,62.37,67.5,,60.0,,37.5,,70.0,167.5,1,181.27
7201,Tony Mendoza,M,Single-ply,,M-O,121.6,120+,,,,215.0,,,215.0,2,123.24
1291,Eric Bar,M,Multi-ply,46.0,M-2,123.8,125,,255.0,,225.0,,270.0,750.0,3,428.23
5796,Nathan DeJesus,M,Single-ply,,Boys,83.64,90,,124.74,,79.38,,149.69,353.8,14,235.1
7680,David Jackson,M,Raw,31.0,Open Men,97.79,100,,,,,,197.5,197.5,2,121.302
7262,Robin Morast,F,Raw,,R-O,54.5,57,,,,61.2,,,61.2,1,73.56
5838,Matt De Santiago,M,Single-ply,,Boys,59.38,60,,136.08,,,,,,DQ,
7229,Joseph Thibodaux,M,Single-ply,,T3,103.8,105,,307.5,,,,,,DQ,
1562,Tavis Lager,M,Raw,,m1,108.73,110,,,,177.5,,,177.5,1,104.84
1480,Fred Hatfield,M,Single-ply,,,90.0,90,,375.0,,195.0,,307.5,877.5,,560.19
6051,Tanner Oliver,M,Single-ply,,Boys,99.34,100,,251.74,,165.56,,249.48,666.78,3,406.88
5033,Daniel Alicea,M,Wraps,,Amateur Teen 16-17,108.77,110,,183.7,,120.2,,181.44,485.34,1,286.62
4642,Timothy Potter,M,Raw,22.5,,102.6,105,,255.0,,155.0,,260.0,670.0,1,403.73
8192,Rony Laura,M,Raw,25.0,Open,80.6,82.5,,160.0,,120.0,,205.0,485.0,5,329.56
1438,Bronwyn Stevens,F,Raw,43.5,Open,56.9,57,,130.0,,65.0,,137.5,332.5,11,386.36
6374,Jesse Zimmel,M,Single-ply,,Boys,72.57,75,,136.08,,83.91,,181.44,401.43,5,292.83
1245,Anna Macnab,F,Raw,30.5,Open,105.64,84+,,180.0,,77.5,,182.5,440.0,4,361.03
5521,Mark Giarratana,M,Wraps,21.0,M-M-R,97.98,110,,170.0,,127.5,,205.0,502.49,8,308.38
6825,Leslie Sanchez,F,Raw,39.5,R-M,79.8,84,,120.0,,65.0,,130.0,315.0,1,288.63
6,Desiree Savarese,F,Raw,35.0,Novice,67.13,67.5,,102.06,,63.5,,131.54,297.1,1,304.43
7027,Michael Cazares,M,Raw,20.5,R-C,64.5,66,,165.0,,105.0,,197.5,467.5,15,374.18
804,John MacDonald,M,Single-ply,,Open,121.9,125,,,,245.0,,,245.0,1,140.36
5791,Arturo Alvarado,M,Single-ply,,Boys,87.72,90,,176.9,,92.99,,158.76,428.64,19,277.33
6646,Frank Mennella,M,Raw,,R-JR,82.3,83,,207.5,,117.5,,250.0,575.0,1,385.76
5124,Chandler Schneider,M,Raw,,Amateur Open,88.09,90,,206.38,,136.08,,215.46,557.92,2,360.17
5810,Angel Nabarette,M,Single-ply,,Boys,85.18,90,,183.7,,92.99,,195.04,471.74,8,310.19
6589,Krista Schnell,F,Raw,29.0,F-RO,58.0,63,,82.5,,45.0,,105.0,232.5,6,266.14
7400,Kevin Hudak,M,Raw,34.0,M-RO,104.1,110,,200.0,,130.0,,247.5,577.5,5,346.153
6435,Barb Welp,F,Wraps,44.0,AD F-M,72.48,75,,90.0,,52.5,,117.5,260.0,3,252.66
8460,Yury Belkin,M,Raw,26.0,Open,103.0,110,,,,,-461.0,440.0,440.0,1,264.75
1449,Petr Lahoda,M,Raw,45.5,Masters 1,118.36,120,,282.5,,192.5,,240.0,715.0,6,412.41
6287,Ivan Rodriguez,M,Single-ply,,Boys,58.6,60,,161.03,,81.65,,170.1,412.77,1,359.8
7401,William Weinstock,M,Single-ply,65.0,M-M3,73.5,75,,140.0,,80.0,,187.5,407.5,1,294.541
1450,Audrey Aboueme Ndeme Hanriette,F,Raw,24.5,Open,76.66,84,,190.0,,92.5,,200.0,482.5,4,452.55
7310,Robert Foulkes,M,Raw,47.5,R-O,81.4,,,,,122.5,,,122.5,2,82.73
8063,Crystal Montes,F,Raw,19.0,Junior 18-19,65.7,67.5,,,,,,117.5,117.5,2,122.3
8006,Mike Zimmerman,M,Raw,37.0,Open Men,109.5,110,,285.0,,197.5,,312.5,795.0,1,468.51
7459,Phillip Wylie,M,Raw,43.0,M-M1a,110.0,110,,242.5,,175.0,,295.0,712.5,1,419.3
5191,Steven Zecca,M,Wraps,,Pro Open,98.52,100,,258.55,,170.1,,276.69,705.34,1,431.88
7966,Ashley Gleckler,F,Raw,29.0,Open,67.3,67.5,,127.5,,57.5,,157.5,342.5,1,350.30800000000005
152,Alex Tosh,M,Raw,,,89.0,93,,215.0,,165.0,,267.5,647.5,11,415.74
6727,Austin Romine,M,Raw,21.5,Open,70.6,,,210.0,,127.5,,217.5,555.0,6,413.22
6389,Robert Martinez,M,Single-ply,,Boys,124.33,125,,265.35,,142.88,,238.14,646.37,2,368.74
6123,Alex Reed,M,Single-ply,,Boys,88.9,90,,213.19,,131.54,,195.04,539.77,2,346.77
7411,Chris Gries,M,Single-ply,24.0,,75.0,75,,,,,,,,DQ,
7560,Gary Strassberg,M,Raw,42.0,Master Men 40-44,95.8,100,,,122.5,120.0,,,120.0,1,74.36
7522,Mike Brown,M,Single-ply,46.0,Master Men 45-49,91.63,100,,,,132.5,,,132.5,2,83.83
2574,Sverre Paulsen,M,Single-ply,,Master 40-49,68.4,75,,115.0,,70.0,,145.0,330.0,2,251.77
7682,Michael Russell Jr,M,Raw,32.0,Open Men,74.39,75,,207.5,,132.5,,237.5,577.5,1,413.86300000000006
8404,Shadi Zahed,M,Raw,21.0,Junior 20-23,73.8,75,,190.0,,115.0,,210.0,515.0,2,371.16
